airport,city,state,airport_name,hub,international,elevation_1000,latitude,longitude,arr_flights,perc_delay15,perc_cancelled,perc_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
MSP,Minneapolis,MN,Minneapolis-St Paul International,yes,yes,0.8418,44.9,-93.2,12807,16.5378309,0.663699539,0.101506988,172398,53462,22501,23114,113,73208
MTJ,Montrose/Delta, CO, Montrose Regional,no,no,5.7585,38.5,-107.9,177,22.0338983,0.564971751,0.564971751,2537,1022,162,180,0,1173
OAK,Oakland, CA, Metropolitan Oakland International,yes,yes,0.009,37.7,-122.2,4431,23.3807267,1.060708644,0.022568269,50516,16617,232,10287,121,23259
OGG,Kahului, HI, Kahului Airport,no,no,0.0554,20.9,-156.4,2492,14.3659711,0.240770465,0.120385233,17566,8789,86,3260,22,5409
OMA,Omaha, NE, Eppley Airfield,no,no,0.9845,41.3,-95.9,2173,18.1776346,0.552231937,0.046019328,23261,8806,668,2707,20,11060
ONT,Ontario, CA, Ontario International,no,yes,0.9441,34.1,-117.6,2053,22.942036,0.730638091,0,24867,10247,419,1958,50,12193
ORH,Worcester, MA, Worcester Regional,no,no,1.009,42.3,-71.9,121,31.4049587,0.826446281,1.652892562,3160,1624,0,321,0,1215
PAE,Everett, WA, Snohomish County,no,no,0.6069,47.9,-122.3,180,25,7.777777778,2.222222222,3551,1439,52,452,0,1608
PBI,West Palm Beach/Palm Beach, FL, Palm Beach International,no,yes,0.0196,26.7,-80.1,2734,24.7622531,0.329188003,0.07315289,44318,16215,1357,9233,10,17503
PDX,Portland, OR, Portland International,yes,yes,0.0308,45.6,-122.6,5378,18.8174042,0.427668278,0.037188546,53419,18893,782,7855,72,25817
PGD,Punta Gorda, FL, Punta Gorda Airport,no,no,0.0255,26.9,-82,568,22.3591549,0.88028169,0.704225352,9948,2843,683,1303,57,5062
PHL,Philadelphia, PA, Philadelphia International,yes,yes,0.0359,39.9,-75.2,9686,24.0037167,0.887879414,0.051620896,164583,42584,5113,53213,167,63506
PIA,Peoria, IL, General Downing - Peoria International,no,yes,0.6607,40.7,-89.7,406,24.6305419,0.738916256,0,8310,4480,547,661,0,2622
PIE,St. Petersburg, FL, St Pete Clearwater International,no,yes,0.0107,27.9,-82.7,663,22.3227753,1.206636501,0,11912,4151,517,1811,0,5433
PIR,Pierre, SD, Pierre Regional,no,no,1.7443,44.4,-100.3,59,20.3389831,6.779661017,0,1506,1254,0,33,0,219
PSG,Petersburg, AK, Petersburg James A Johnson,no,no,0.1132,56.8,-132.9,60,20,3.333333333,0,519,108,0,113,0,298
PVD,Providence, RI, Theodore Francis Green State,no,no,0.054,41.7,-71.4,1567,22.5271219,1.595405233,0,19852,6999,624,2368,10,9851
RAP,Rapid City, SD, Rapid City Regional,no,no,3.2035,44,-103.1,369,20.3252033,2.16802168,1.62601626,6417,1021,1663,983,0,2750
RDD,Redding, CA, Redding Municipal,no,no,0.5047,40.5,-122.3,124,32.2580645,4.032258065,0.806451613,3176,1758,0,120,0,1298
RDM,Bend/Redmond, OR, Roberts Field,no,no,3.0815,44.3,-121.1,418,17.2248804,3.827751196,1.196172249,6425,3185,341,504,0,2395
RDU,Raleigh/Durham, NC, Raleigh-Durham International,yes,yes,0.4352,35.9,-78.8,5398,20.0444609,0.629862912,0.092626899,70124,23497,2478,9754,86,34309
RFD,Rockford, IL, Chicago/Rockford International,no,yes,0.742,42.2,-89.1,64,25,0,0,995,563,6,158,0,268
RHI,Rhinelander, WI, Rhinelander/Oneida County,no,no,1.6233,45.6,-89.5,62,22.5806452,1.612903226,3.225806452,723,369,30,101,0,223
RIC,Richmond, VA, Richmond International,no,yes,0.1675,37.5,-77.3,2022,20.8704253,1.038575668,0.148367953,28351,9669,762,4554,33,13333
RKS,Rock Springs, WY, Southwest Wyoming Regional,no,no,6.7646,41.6,-109.7,65,10.7692308,6.153846154,0,1358,426,660,12,0,260
ROC,Rochester, NY, Greater Rochester International,no,yes,0.5589,43.1,-77.7,1211,22.2130471,1.073492981,0.082576383,21423,9156,599,3357,58,8253
ROW,Roswell, NM, Roswell International Air Center,no,yes,3.671,33.3,-104.5,120,11.6666667,0.833333333,0,741,225,0,120,0,396
RST,Rochester, MN, Rochester International,no,yes,1.3174,43.9,-92.5,271,19.9261993,0.73800738,0,4359,1287,972,650,0,1450
SAN,San Diego, CA, San Diego International,yes,yes,0.0168,32.7,-117.2,7738,21.1682605,1.033858878,0.297234428,80354,27138,1990,16675,226,34325
SAT,San Antonio, TX, San Antonio International,yes,yes,0.8091,29.5,-98.5,3365,17.8603269,0.208023774,0.14858841,33010,15170,535,3391,55,13859
SAV,Savannah, GA, Savannah/Hilton Head International,no,yes,0.0502,32.1,-81.2,1326,22.5490196,0.678733032,0.150829563,20414,6769,580,3038,28,9999
SBN,South Bend, IN, South Bend International,no,yes,0.7984,41.7,-86.3,544,21.5073529,0.183823529,0,11465,5870,364,696,0,4535
SBP,San Luis Obispo, CA, San Luis County Regional,no,no,0.2123,35.2,-120.6,534,23.2209738,1.685393258,0.374531835,11757,3931,2185,1228,0,4413
SEA,Seattle,WA,Seattle-Tacoma International Airport,yes,yes,0.4323,47.4,-122.3,12317,21.6773565,0.519607047,0.097426321,146939,38037,3815,39487,238,65362
SFB,Sanford, FL, Orlando Sanford International,no,yes,0.0549,28.8,-81.2,966,26.2939959,1.035196687,0,21600,8285,2194,1840,103,9178
SFO,San Francisco, CA, San Francisco International,yes,yes,0.0131,37.6,-122.4,14038,33.4093176,2.649950135,0.356176093,385222,71554,6677,207350,37,99604
SHD,Staunton, VA, Shenandoah Valley Regional,no,no,1.201,38.3,-78.9,88,26.1363636,5.681818182,0,2999,1684,0,112,0,1203
SJT,San Angelo, TX, San Angelo Regional/Mathis Field,no,no,1.9186,31.4,-100.5,164,12.804878,0,0,1096,279,92,102,0,623
SPI,Springfield, IL, Abraham Lincoln Capital,no,no,0.5978,39.8,-89.7,180,20,2.777777778,0.555555556,4695,3115,137,528,0,915
STX,Christiansted, VI, Henry E. Rohlsen,no,no,0.0741,17.7,-64.8,88,14.7727273,0,0,902,418,0,365,0,119
SUX,Sioux City, IA, Sioux Gateway Brig Gen Bud Day Field,no,no,1.0984,42.4,-96.4,123,17.0731707,0.81300813,0,1104,132,23,262,0,687
SWO,Stillwater, OK, Stillwater Regional,no,no,1.0001,36.2,-97.1,68,11.7647059,0,0,313,167,0,14,0,132
SYR,Syracuse, NY, Syracuse Hancock International,no,yes,0.4214,43.1,-76.1,1132,21.2897527,2.03180212,0.618374558,17180,5786,807,2828,0,7759
TLH,Tallahassee, FL, Tallahassee International,no,yes,0.0831,90.4,-84.4,597,19.0954774,0.502512563,0.502512563,7359,2097,539,772,5,3946
TPA,Tampa, FL, Tampa International,yes,yes,0.006,28,-82.5,7258,19.5370626,0.399559107,0.261780105,83366,31710,2527,15184,451,33494
TRI,Bristol/Johnson City/Kingsport, TN, Tri Cities,no,no,1.5187,36.5,-82.4,258,12.7906977,0,0,2342,651,365,169,0,1157
TTN,Trenton, NJ, Trenton Mercer,no,no,0.2126,40.3,-74.8,282,29.4326241,1.773049645,0.354609929,5638,1675,23,1165,0,2775
TUS,Tucson, AZ, Tucson International,no,yes,2.643,32.1,-110.9,1779,23.1028668,0.562113547,0,24944,9448,626,2938,88,11844
TVC,Traverse City, MI, Cherry Capital,no,no,0.6239,44.7,-85.6,306,16.0130719,3.267973856,1.307189542,2516,771,348,332,7,1058
TYR,Tyler, TX, Tyler Pounds Regional,no,no,0.5439,32.4,-95.4,154,14.2857143,1.298701299,0.649350649,1538,697,194,37,0,610
XNA,Fayetteville, AR, Northwest Arkansas Regional,no,no,1.2882,36.3,-94.3,1137,18.117854,0.703605981,0.615655233,13312,4149,1070,2378,0,5715
