Major,Residency ,Num_Credits,Dominant_hand,Hand_Span,GripStrength_DomHand,GripStrength_NonDomHand
Business,Out of state,16,left,19,43,56.4
accounting,out of state ,15,right,18cm,27.8lbs,26.5lbs 
Environmental Studies (Pre-Law),In state,16,right,18cm,55.7,45.8
Construction Engineering ,Out of State ,15,right,21 1/2,71,69
Business Marketing,Out-of-state,15,right,10 CM,64.6,66
Environmental Science,Out_state,16,right,22.3,32.4,26
Business management ,In state,18,right,22.5,112.4,94.2
CET,In state,18,right,8.5 in,71.6,77.6
Environmental Studies ,In-State ,16,right,18cm ,51lbs ,41lbs 
Fish and wildlife,In state,13,left,22,90,122
Computer science,In state,18,right,22,79.2,75.2
Finance Accountinh,out of state,18,right,18,51.8,45.5
Fish and wildlife,Out of state ,17,right,20,67. 2,62.3
Business market ,In state ,15,right,21,81.6,91.2
Farm and ranch management ,Out of state ,19,right,20.5,52.2,51
nursing,out_of_state ,16,right,21cm ,78,67.4
Nursing,Out of state,16,right,6”,55.6,51.4
Computer Science,In state,16,right,21.1,75.2,71.3
Business Finance,in_state,16,right,20,60,46
Psychology,Out_state,18,right,19.3,29.4,27.8
Animal Science ,Out of state ,16,right,20 cm,43.8,39.6
Social work ,In state ,15,right,18 cm,49,45
CET,In State,18,right,25,135,93
Undecided,In-state,17,right,20 cm,62.2,62
Nursing,In-state,15,right,22,43.8,33.8
Nursing ,In state ,15,right,19.4cm ,70.8 lbs ,71.0 lbs
Kinesiology ,Out of state ,16,right,17 cm ,22 lbs,20 lbs
Kinesiology,In-state,16,right,18.5,17.2,17
Animal science ,Out of state ,15,right,21,78,67
Nursing,Out of state,15,right,8.5 in,94.6,94.2
Business Accounting ,In state ,15,right,22,75.4,82
Business management ,Out of state,6,right,19,87.5,76.4
Finance,In state,18,right,21 centimeters,82,70
Animal science,Out of state,18,right,17 cm,39.2,39.2
Environmental Science Land Rehab,Out of state (SC),13,right,23,109.13,99.12
Business Marketing ,In state ,15,left,18 cm,52 lbs ,54 lbs 
Finance,Out of state,15,right,9in,50,54
Kinesiology,Out of state ,18,right,20,28.9,28
Nursing ,In state,13,right,8 1/8,53,48
marketing ,out of state ,15,right,18cm,52,49
Kinesiology,Out,15,right,22.4,68.6,61.2
University Studies (undeclared),out-of-state,15i’m ,right,22.5,83.8,88
Conservation Biology and Ecology,In State,15,right,19 centimeters ,52 lbs,38 lbs. 
Computer Science,In-state,21,right,20,134,123
Management,In-state,16,right,24cm,97.44,111.78
Fish and Wildlife Ecology and Management ,Out-of-state,16,right,22cm,93.6,94.6
Conservation biology and ecology ,Out of state ,14,left,19.5 cm,48,49
Finance ,Out,18,right,23 cm,118 lbs,114 lbs
Computer science ,In-state,15,right,25.5,108.8,88.8
Fish and wildlife,Out of state,18,right,21,113,83.4
Accounting ,In_state,18,right,21,51.4,42.4
Construction engineering technology ,In state ,16,right,22.5,90.8,81.6
Fish and wildlife mmgt and conservation ,In state ,15,right,24,96,94
Business Marketing,Out of state,15,right,22,61,58
Construction Engineering Technology ,In-State,15,left,20,96.4,94.6
Business: Marketing,Out of state ,15,right,22.5,80.4,81.6
Conservation Biology,Out of state,16,right,21.8 cm,85.4,54.4
Accounting ,Out of State ,17,right,21 cm,88,86
Business management ,Out of state,19,right,20 cm,55 lbs,52 lbs 
Animal Science,In state,18,right,10.5,39,24
Construction Engineering Technology ,Out of State,16,right,21.5cm,55,59.8
Ag business ,Out of state ,15,left,21.5,32.5,42.2
Business Management ,In- state for everything but tuition.,6,right,22 cm,69.8,70.2
kinesiology,out_state,17,right,21,92,95
Computer Science,Out of State,16,right,22,77.8,95.2
Cell Biology and Neuroscience ,In state,16,right,21.5,81.2,72.8
Political science ,Out,15,right,19cm,44,39.4
Nursing ,In state ,12,right,21 1/2 cm,53,48
Undecided ,In-state,16,right,17 cm ,45.4 lbs ,20.0 lb
Kinesiology,Out of state,19,right,20.5,65.25,51.58
marketing ,in state ,15,right,20 cm ,58.6,54.2
Business-marketing,Out of state,15,right,19.05 cm,42.6 lbs,36.4 lbs
Pre-Nursing ,In state ,17,right,14,56.6,45.2
Marketing ,In state ,15,right,7,51.6,39.2
Accounting ,In state ,18,right,22cm,79.8,70.3
Business marketing,Out of state,15,right,6 in,84 lb,77.2 lb
Conservation biology and ecology,In state,15,right,19 centimeters,58,35
Business management ,Out of state ,15,left,21,98,89
Business management,In state,18,left,19,56.2,49.6
Anthropology,In-State,15,left,16,40.2,40.6
Undecided ,Out of state ,16,right,24,82.1,54
Business management,in_state,18,left,19,56.2,49.6
anthropology,in_state,15,left,16,40.2,40.6
geology,out_state,14,right,20,64.6,30.8
Management,In-State,15,right,21 cm,77.2,71.4
Neuroscience and Cell Biology,Out-of-state,18,right,23,54,49
business_management,out_state,15,right,21,65,54.4
CET,In state,18,right,20,84.8,79.8
Business Marketing,Out of state,18,right,21,73,71
Environmental Science GIS,In state,17?,right,16cm,43,34
Fish and Wildlife Ecology and Management ,In state ,17,right,18.5 cm,38,34
Construction engineering technology ,Out of state,16,right,23 cm,82.4,66.6
Business Management ,In state,15,right,15,40,30
Computer science,Out of state,16?,right,6.5,63,63
Fish and Wildlfie Biology,out_state,15,right,22,103.4,76.6
Business Finance ,Out of state ,19,right,9 inches ,102.8,99.4
