Channel Name,Video URL,Video Title,Video Length (HH:MM:SS),Video Language,Content Category of the Video,Total No of Video Views,Total No of Video Likes,Total No of Comments,No of Channel Subscribers,Video Posted Date,Channel Created Date,Channel Genre,Location of the Content Creator,TotalViewsoftheChannel,Trustworthiness_Thumbnail,Trustworthiness_Video,Does the Video Require Subject Matter Expertise from an Expert ?,Creator_SME,Trustworthiness from Comments (Trustable or Not),Interns who cleaned data
Chef Ranveer,https://www.youtube.com/watch?v=zAICu_dIlUs,Easy Tawa Pizza | ??? ?????? ?????? | Pizza at home without oven without yeast | Chef Ranveer Brar,0:13:30,Hindi,Entertainment,110097,1000,9254,538000,25-02-2020,9/10/2019,Entertainment,India,"646,530,374",7,7,NO,No,Not Trustable,Manya Tyagi
HRX,https://www.youtube.com/watch?v=IpUQElrETw4,KABIR AND BEYOND | Hrithik Roshan's Transformation | The HRX Story,0:11:53,Hindi,Educational,29836716,737000,12826,420000,9/4/2020,24-09-2014,Employment,India,"84,509,891",9,9,Yes,Yes,Trustable,Manya Tyagi
Aditya Saini,https://www.youtube.com/watch?v=MSPTx9jKr3A,Byju's SCAM ?? | How Byju's is Killing The Youth ? | Business Case Study,0:13:26,Hindi,Entertainment,5725642,151000,9006,578000,1/12/2021,8/4/2020,Entertainment,India,"62,982,011",8,8,Yes,Yes,Trustable,Manya Tyagi
Ajey,https://www.youtube.com/watch?v=0jUj3rfO7eM,THARA BHAiiiii,0:14:32,Hindi,Entertainment,56789645,630000,344247,36800000,19-01-2022,8/4/2017,Entertainment,India,"3,013,145,951",9,9,NO,No,Trustable,Manya Tyagi
All India Bakchod,https://www.youtube.com/watch?v=HmCfiqW0Y0I,AIB Podcast,0:24:10,Hindi,Entertainment,9369706,125000,4832,39900000,1/2/2017,30-01-2012,Entertainment,India,"602,900,852",8,8,NO,No,Trustable,Manya Tyagi
Amit Bhadana,https://www.youtube.com/watch?v=CLNd2XY_01k,Chidiya Ghar,0:57:59,Hindi,Entertainment,18086120,1300000,300416,24100000,27-04-2022,24-10-2012,Entertainment,India,"2,258,746,362",8,8,NO,No,Trustable,Manya Tyagi
Anubhav Singh Bassi,https://www.youtube.com/watch?v=qkxuFKqJXWY,Roommate - Stand Up Comedy,0:22:44,Hindi,Entertainment,56235592,240000,54510,3710000,16-04-2021,22-06-2016,Entertainment,India,"229,198,577",8,8,NO,No,Trustable,Manya Tyagi
Ashish Chanchlani,https://www.youtube.com/watch?v=xrR3xQNeB_Y,Sasta Shaark Tank,0:32:32,Hindi,Entertainment,54184862,340000,116779,28700000,16-03-2022,7/7/2009,Entertainment,India,"4,103,125,719",9,9,NO,No,Trustable,Manya Tyagi
Atif Aslam,https://www.youtube.com/watch?v=74cVT_tUpck&list=RD74cVT_tUpck&start_radio=1,Coke Studio Season 12 | Wohi Khuda Hai,0:06:56,Hindi,Educational,56291776,880000,49714,13200000,11/10/2019,7/8/2014,Employment,India,"3,416,920,219",8,8,Yes,Yes,Trustable,Manya Tyagi
Cartoon Network India,https://www.youtube.com/watch?v=HtgXGm6rvE8,Ben 10 | Rustbucket Moments,0:14:50,Hindi,Entertainment,3510638,187000,0,2770000,28-12-2018,10/4/2020,Entertainment,India,"2,042,798,795",8,8,NO,No,Trustable,Manya Tyagi
Castrol,https://www.youtube.com/watch?v=xPFckIKt8zg,Need For Speed Motorsport,0:00:47,English,Educational,31360831,253000,2200,141000,12/2/2012,21-07-2011,Employment,India,"651,227,679",9,9,NO,No,Trustable,Manya Tyagi
Dhruv Rathee,https://www.youtube.com/watch?v=890wWM0lg94,Biggest Mystery in Aviation | What happened to MH370 Flight?,0:20:32,Hindi,Entertainment,7809667,345000,12188,8680000,31-01-2022,8/1/2013,Entertainment,India,"1,100,982,120",9,9,NO,No,Trustable,Manya Tyagi
Edureka,https://www.youtube.com/watch?v=zbMHLJ0dY4w,SQL Basics for Beginners,0:27:50,English,Educational,1827624,33000,352,305200000,4/10/2019,29-01-2012,Educational,India,"339,614,261",8,8,Yes,Yes,Trustable,Manya Tyagi
